merchant_id,gender,business_size_idx,daily_thrift_freq,cash_out_freq,avg_txn_value,account_age_months,repaid
MERCH_10000,F,1,1,0.91,7011.39,32,0
MERCH_10001,M,0,8,5.35,751.28,25,1
MERCH_10002,M,2,3,2.84,14797.74,27,1
MERCH_10003,F,1,1,0.64,23036.96,23,0
MERCH_10004,F,0,2,1.33,2045.54,2,1
MERCH_10005,F,2,4,3.08,3238.79,4,1
MERCH_10006,F,1,0,0.0,9563.93,25,0
MERCH_10007,M,0,5,4.48,1209.15,23,1
MERCH_10008,F,1,4,3.36,2676.5,23,0
MERCH_10009,M,0,6,5.28,728.79,33,1
MERCH_10010,F,1,1,0.74,17521.52,28,0
MERCH_10011,M,1,3,2.66,7211.36,8,0
MERCH_10012,M,2,1,0.77,10212.07,33,1
MERCH_10013,F,1,4,2.73,10198.94,29,1
MERCH_10014,F,0,5,4.56,2475.3,15,1
MERCH_10015,F,1,3,1.93,9914.39,15,1
MERCH_10016,F,0,5,3.38,2522.35,19,1
MERCH_10017,F,1,3,1.48,5224.97,21,0
MERCH_10018,F,1,1,0.92,1970.38,35,1
MERCH_10019,F,0,3,1.56,6241.02,26,0
MERCH_10020,F,0,2,1.02,1043.11,28,0
MERCH_10021,F,2,3,1.37,8921.74,22,0
MERCH_10022,F,2,1,0.65,3413.86,16,1
MERCH_10023,F,0,3,1.65,1657.85,12,1
MERCH_10024,F,0,5,4.04,4276.65,28,1
MERCH_10025,M,0,7,3.98,625.45,7,1
MERCH_10026,F,2,0,0.0,2741.67,33,1
MERCH_10027,F,0,4,2.03,3447.69,24,1
MERCH_10028,F,1,4,2.11,3307.76,11,1
MERCH_10029,F,0,7,5.9,1206.29,15,1
MERCH_10030,F,1,2,1.21,2575.45,19,0
MERCH_10031,F,0,2,0.92,1129.31,15,1
MERCH_10032,F,1,2,1.86,8777.15,9,1
MERCH_10033,M,0,5,2.49,2914.84,13,1
MERCH_10034,M,1,2,0.97,7318.73,29,0
MERCH_10035,M,0,0,0.0,3066.77,26,0
MERCH_10036,F,1,0,0.0,15372.89,23,0
MERCH_10037,F,2,1,0.49,2756.2,17,0
MERCH_10038,M,0,4,3.46,3718.17,5,1
MERCH_10039,F,2,0,0.0,9257.4,16,0
MERCH_10040,F,1,0,0.0,1737.01,30,1
MERCH_10041,F,0,3,2.65,2619.26,21,1
MERCH_10042,F,0,6,3.86,7426.34,5,1
MERCH_10043,M,0,3,1.46,2403.2,26,1
MERCH_10044,F,1,3,2.16,7890.37,30,0
MERCH_10045,M,1,2,0.85,1497.11,22,0
MERCH_10046,F,0,4,2.54,1136.21,2,1
